Timestamp; Read by consumer; Remaining in queue
787012;1000;68353
788014;1000;69225
789025;1000;68629
790034;1000;69278
791047;1000;68999
792052;1000;69218
793064;1000;68560
794074;1000;67892
795075;1000;67480
796089;1000;66914
797101;1000;66047
798116;1000;65158
799120;1000;64402
800131;1000;63662
801145;1000;62772
802152;1000;62075
803165;1000;61317
804176;1000;60606
805182;1000;59986
806195;1000;59149
807207;1000;58483
808220;1000;57716
809220;1000;56776
810220;1000;55878
811233;1000;55129
812247;1000;54471
813260;1000;53557
814260;1000;52761
815266;1000;51890
816278;1000;51410
817286;1000;50546
818300;1000;49828
819311;1000;49184
820322;1000;48563
821327;1000;47687
822332;1000;46970
823346;1000;46166
824349;1000;45326
825351;1000;44576
826365;1000;44039
827365;1000;43132
828379;1000;42657
829395;1000;41849
830402;1000;41114
831408;1000;40218
832416;1000;39566
833424;1000;38731
834435;1000;38173
835440;1000;37416
836448;1000;36598
837455;1000;35828
838469;1000;35021
839484;1000;34287
840497;1000;33629
841512;1000;33029
842524;1000;32158
843529;1000;31314
844537;1000;30407
845538;1000;29527
846540;1000;29112
847541;1000;28303
848547;1000;27735
849562;1000;27058
850567;1000;26252
851575;1000;25569
852586;1000;24845
853596;1000;24416
854600;1000;23596
855613;1000;22914
856628;1000;22293
857628;1000;21769
858628;1000;21042
859642;1000;20384
860657;1000;19886
861658;1000;19053
862664;1000;18322
863677;1000;17390
864690;1000;16866
865701;1000;16002
866715;1000;15262
867729;1000;14551
868735;1000;13964
869744;1000;13129
870751;1000;12316
871757;1000;11418
872759;1000;10723
873766;1000;9899
874782;1000;9261
875787;1000;8343
876802;1000;7409
877806;1000;6669
878815;1000;5867
879820;1000;5249
880835;1000;4404
881845;1000;3539
882858;1000;2854
883872;1000;1996
884877;1000;1447
885888;1000;684
886900;1000;0
887914;1000;0
888927;1000;0
889927;1000;0
890941;1000;0
891954;1000;0
892963;1000;0
893966;1000;0
894979;1000;0
895992;1000;0
897004;1000;0
898018;1000;0
899028;1000;0
900037;1000;0
901051;1000;0
902067;1000;0
903079;1000;0
904093;1000;0
905108;1000;0
906119;1000;0
907130;1000;0
908144;1000;0
909146;1000;0
910161;1000;0
911173;1000;0
912185;1000;0
913198;1000;0
914210;1000;0
915218;1000;0
916220;1000;0
917232;1000;0
918241;1000;0
919253;1000;0
920268;1000;0
921277;1000;0
922284;1000;0
923298;1000;0
924308;1000;0
925321;1000;0
926336;1000;0
927337;1000;0
928342;1000;0
929356;1000;0
930367;1000;0
931378;1000;0
932394;1000;0
933404;1000;0
934416;1000;0
935428;1000;0
936443;1000;0
937455;1000;0
938460;1000;0
939466;1000;0
940481;1000;0
941491;1000;0
942503;1000;0
943504;1000;0
944508;1000;0
945519;1000;0
946521;1000;0
947533;1000;0
948548;1000;0
949559;1000;0
950562;1000;0
951569;1000;0
952583;1000;0
953587;1000;0
954588;1000;0
955599;1000;0
956612;1000;0
957625;1000;0
958640;1000;0
959648;1000;0
960659;1000;0
961671;1000;0
962684;1000;0
963695;1000;0
964704;1000;0
965717;1000;0
966727;1000;0
967743;1000;0
968754;1000;0
969762;1000;0
970767;1000;0
971781;1000;0
972795;1000;0
973808;1000;0
974812;1000;0
975824;1000;0
976827;1000;0
977833;1000;0
978846;1000;0
979851;1000;0
980862;1000;0
981870;1000;0
982885;1000;0
983897;1000;0
984911;1000;0
985911;1000;0
986923;1000;0
987938;1000;0
988945;1000;0
989956;1000;0
990956;1000;0
991971;1000;0
992987;1000;0
993986;1000;0
995002;1000;0
996012;1000;0
997019;1000;0
998022;1000;0
999033;1000;0
1000048;1000;0
1001063;1000;0
1002073;1000;0
1003073;1000;0
1004085;1000;0
1005087;1000;0
1006087;1000;0
1007088;1000;0
1008099;1000;0
1009114;1000;0
1010127;1000;0
1011143;1000;0
1012158;1000;0
1013170;1000;0
1014184;1000;0
1015199;1000;0
1016213;1000;0
1017229;1000;0
1018230;1000;0
1019240;1000;0
1020250;1000;0
1021252;1000;0
1022263;1000;0
1023280;1000;0
1024292;1000;0
1025305;1000;0
1026317;1000;0
1027332;1000;0
1028332;1000;0
1029344;1000;0
1030358;1000;0
1031371;1000;0
1032387;1000;0
1033398;1000;0
1034409;1000;0
1035420;1000;0
1036432;1000;0
1037444;1000;0
1038457;1000;0
1039469;1000;0
1040471;1000;0
1041481;1000;0
1042485;1000;0
1043486;1000;0
1044496;1000;0
1045511;1000;0
1046523;1000;0
1047537;1000;0
1048551;1000;0
1049563;1000;68
1050564;1000;1016
1051575;1000;647
1052576;1000;453
1053591;1000;1183
1054606;1000;2247
1055619;1000;2224
1056629;1000;2485
1057641;1000;2674
1058653;1000;2657
1059668;1000;2495
1060683;1000;2257
1061695;1000;1573
1062696;1000;3251
1063706;1000;3418
1064721;1000;3124
1065724;1000;4014
1066724;1000;4394
1067739;1000;4588
1068752;1000;4095
1069752;1000;3549
1070762;1000;4023
1071777;1000;4257
1072778;1000;3883
1073790;1000;4452
1074804;1000;5312
1075816;1000;4705
1076829;1000;5395
1077841;1000;5761
1078856;1000;5518
1079871;1000;6479
1080885;1000;6706
1081898;1000;6991
1082914;1000;7301
1083924;1000;7398
1084937;1000;7801
1085948;1000;7690
1086959;1000;8077
1087972;1000;8148
1088986;1000;7775
1090000;1000;7824
1091004;1000;8665
1092015;1000;8710
1093018;1000;8430
1094032;1000;7931
1095040;1000;8454
1096053;1000;8985
1097065;1000;10439
1098080;1000;10766
1099094;1000;10371
1100107;1000;10718
1101115;1000;10239
1102128;1000;11376
1103142;1000;11000
1104144;1000;10365
1105156;1000;9965
1106171;1000;10363
1107186;1000;9787
1108199;1000;10403
1109201;1000;10144
1110206;1000;9903
1111219;1000;9900
1112224;1000;10795
1113225;1000;10487
1114240;1000;11143
1115250;1000;10956
1116264;1000;12218
1117275;1000;11783
1118290;1000;11764
1119302;1000;13187
1120314;1000;13092
1121315;1000;13307
1122329;1000;13742
1123337;1000;13735
1124351;1000;14117
1125357;1000;13920
1126370;1000;13223
1127383;1000;13234
1128392;1000;13674
1129405;1000;13479
1130404;1000;14761
1131418;1000;15418
1132422;1000;14835
1133435;1000;15410
1134448;1000;17600
1135462;1000;17334
1136476;1000;17680
1137479;1000;17288
1138494;1000;17056
1139509;1000;16813
1140509;1000;17772
1141512;1000;18349
1142519;1000;18912
1143527;1000;19649
1144535;1000;20462
1145540;1000;20343
1146544;1000;20162
1147548;1000;21196
1148551;1000;21778
1149557;1000;22400
1150561;1000;23257
1151573;1000;23524
1152573;1000;26320
1153584;1000;25652
1154587;1000;25130
1155588;1000;25823
1156590;1000;27197
1157590;1000;27055
1158606;1000;26651
1159610;1000;26101
1160617;1000;26589
1161619;1000;26712
1162623;1000;26340
1163624;1000;28003
1164625;1000;27810
1165625;1000;27231
1166639;1000;28159
1167639;1000;30596
1168642;1000;29942
1169644;1000;29882
1170647;1000;29320
1171660;1000;29903
1172661;1000;30208
1173675;1000;30639
1174681;1000;32274
1175683;1000;31981
1176683;1000;31908
1177687;1000;31245
1178689;1000;30753
1179691;1000;31030
1180690;1000;30403
1181703;1000;30101
1182710;1000;30216
1183722;1000;29769
1184725;1000;29230
1185735;1000;30159
1186739;1000;29905
1187746;1000;29448
1188747;1000;29762
1189751;1000;29532
1190752;1000;30187
1191753;1000;30404
1192755;1000;31307
1193762;1000;31762
1194763;1000;32769
1195770;1000;32256
1196786;1000;32826
1197789;1000;33465
1198792;1000;33445
1199800;1000;33349
1200803;1000;33948
1201801;1000;34509
1202808;1000;33823
1203809;1000;33811
1204810;1000;33680
1205822;1000;34390
1206822;1000;35158
1207823;1000;34780
1208829;1000;34820
1209833;1000;34449
1210833;1000;34723
1211839;1000;34329
1212847;1000;34270
1213857;1000;35588
1214869;1000;35431
1215870;1000;38847
1216881;1000;38370
1217894;1000;39513
1218895;1000;39619
1219905;1000;40838
