Timestamp;  Q1; Q2; Q3; Q4; Q Expirados
233307;24;47;191;16108;;35676
233821;43;90;46;15748;;35676
234258;43;90;46;15677;;35747
234322;46;99;176;16402;;35747
234833;98;194;145;16419;;35747
235265;98;194;145;16419;;35747
235335;49;116;301;17098;;35747
235845;97;220;153;17386;;35747
236276;97;220;153;17386;;35747
236347;4;4;168;17446;;35747
236854;36;61;76;17333;;35747
237290;36;61;76;17333;;35747
237358;52;166;225;18027;;35747
237870;81;57;88;17863;;35747
238304;81;57;88;17839;;35771
238883;26;49;65;17393;;35771
239314;26;49;65;17393;;35771
239896;39;58;134;17101;;35771
240334;39;58;134;16961;;35911
240395;18;40;188;17223;;35911
240907;34;82;41;16746;;35911
241386;34;82;41;15571;;37086
241915;17;39;53;14990;;37086
242362;17;39;53;14719;;37357
242417;47;112;192;15421;;37357
242927;92;217;148;15371;;37357
243362;92;217;148;15371;;37357
243428;55;307;284;15996;;37357
243939;100;99;152;16383;;37357
244375;100;99;152;16383;;37357
244442;53;216;298;17067;;37357
244956;93;100;139;17402;;37357
245387;93;100;139;17402;;37357
245457;26;52;188;17682;;37357
245970;76;146;138;17676;;37357
246410;76;146;138;17475;;37558
246469;26;57;230;17877;;37558
246979;61;131;119;17902;;37558
247424;61;131;119;17703;;37757
247480;55;108;265;18394;;37757
247994;91;210;163;18550;;37757
248441;91;210;163;17964;;38343
248509;47;99;153;18129;;38343
249023;81;207;298;18842;;38343
249473;81;207;298;17867;;39318
249535;48;100;144;18161;;39318
250037;103;187;280;18883;;39318
250423;103;187;280;18883;;39318
250536;52;107;150;19144;;39318
251050;95;202;288;19692;;39318
251467;95;202;288;19054;;39956
252074;37;75;119;19206;;39956
252472;37;75;119;18663;;40499
253085;40;97;154;18539;;40499
253454;40;97;154;18539;;40499
253598;30;62;97;18303;;40499
254489;30;62;97;17813;;40989
254628;51;95;159;17697;;40989
255141;111;184;303;18333;;40989
255479;111;184;303;18331;;40991
255653;17;35;54;18216;;40991
256165;50;137;192;18852;;40991
256521;50;137;192;18179;;41664
256681;41;61;104;18101;;41664
257514;41;61;104;17942;;41823
257709;44;74;129;17750;;41823
258515;44;74;129;17750;;41823
258736;33;93;130;17704;;41823
259247;70;164;215;18259;;41823
259527;70;164;215;18259;;41823
259750;51;104;154;18399;;41823
260263;56;112;164;18463;;41823
260541;56;112;164;18463;;41823
260777;47;107;134;18396;;41823
261554;47;107;134;18396;;41823
261792;44;113;145;18382;;41823
262306;83;179;255;18830;;41823
262568;83;179;255;18830;;41823
262806;19;41;68;18654;;41823
263600;19;41;68;18206;;42271
263831;42;92;152;17925;;42271
264611;42;92;152;17492;;42704
264860;41;82;125;17353;;42704
265359;64;143;203;17744;;42704
265605;64;143;203;17744;;42704
265872;47;97;146;17864;;42704
266386;88;190;300;18576;;42704
266635;88;190;300;18180;;43100
266900;52;101;152;18453;;43100
267403;102;182;304;19170;;43100
