Timestamp; Read by categoriser; Remaining in queue
441922;1000;0
442424;1000;0
442938;1000;0
443441;1000;0
443950;1000;0
444451;1000;0
444964;1000;0
445465;1000;0
445977;1000;0
446478;1000;0
446990;1000;0
447491;1000;0
448000;1000;0
448500;1000;0
449013;1000;0
449513;1000;0
450015;1000;0
450516;1000;0
451026;1000;0
451526;1000;0
452040;1000;0
452543;1000;0
453056;1000;0
453569;1000;0
454070;1000;0
454582;1000;0
455098;1000;0
455611;1000;0
456112;1000;0
456623;1000;0
457138;1000;0
457652;1000;0
458163;1000;0
458664;1000;0
459178;1000;0
459691;1000;0
460195;1000;0
460696;1000;0
461198;1000;0
461701;1000;0
462212;1000;0
462727;1000;0
463241;1000;0
463755;1000;0
464262;1000;0
464769;1000;0
465272;1000;0
465775;1000;0
466290;1000;0
466801;1000;0
467314;1000;0
467829;1000;0
468343;1000;0
468857;1000;0
469371;1000;0
469883;1000;0
470385;1000;0
470886;1000;0
471389;1000;0
471888;1000;0
472388;1000;0
472902;1000;0
473417;1000;0
473920;1000;0
474432;1000;0
474942;1000;0
475442;1000;0
475945;1000;0
476446;1000;0
476948;1000;0
477454;1000;0
477957;1000;0
478459;1000;0
478973;1000;0
479488;1000;0
480002;1000;0
480516;1000;0
481016;1000;0
481518;1000;0
482018;1000;0
482520;1000;0
483021;1000;0
483524;1000;0
484040;1000;0
484553;1000;0
485069;1000;0
485585;1000;0
486099;1000;0
486613;1000;0
487128;1000;0
487643;1000;0
488155;1000;0
488669;1000;0
489183;1000;0
489686;1000;0
490200;1000;0
490715;1000;0
491227;1000;0
491743;1000;0
492256;1000;0
492771;1000;0
493286;1000;0
493799;1000;0
494299;1000;0
494812;1000;0
495324;1000;0
495837;1000;0
496351;1000;0
496865;1000;0
497379;1000;0
497892;1000;0
498406;1000;0
498907;1000;0
499418;1000;0
499918;1000;0
500433;1000;0
500935;1000;0
501435;1000;0
501935;1000;0
502445;1000;0
502944;1000;0
503456;1000;0
503956;1000;0
504468;1000;0
504976;1000;0
505477;1000;0
505978;1000;0
506490;1000;0
506992;1000;0
507505;1000;0
508015;1000;0
508527;1000;0
509041;1000;0
509556;1000;0
510056;1000;0
510571;1000;0
511073;1000;0
511588;1000;0
512102;1000;0
512602;1000;0
513116;1000;0
513631;1000;0
514130;1000;0
514638;1000;0
515138;1000;0
515651;1000;0
516150;1000;0
516664;1000;0
517177;1000;0
517691;1000;0
518207;1000;0
518720;1000;0
519233;1000;0
519749;1000;0
520263;1000;0
520765;1000;0
521279;1000;0
521794;1000;0
522307;1000;0
522822;1000;0
523338;1000;0
523851;1000;0
524356;1000;0
524857;1000;0
525368;1000;0
525882;1000;0
526397;1000;0
526909;1000;0
527410;1000;0
527923;1000;0
528424;1000;0
528936;1000;0
529446;1000;0
529959;1000;0
530460;1000;0
530972;1000;0
531487;1000;0
531999;1000;0
532506;1000;0
533019;1000;0
533533;1000;0
534034;1000;0
534540;1000;0
535041;1000;0
535546;1000;0
536063;1000;0
536563;1000;0
537065;1000;0
537581;1000;0
538086;1000;0
538591;1000;0
539093;1000;0
539594;1000;0
540101;1000;0
540606;1000;108
541107;1000;0
541610;1000;0
542111;1000;0
542612;1000;0
543116;1000;977
543619;1000;856
544131;1000;778
544642;1000;446
545142;1000;0
545644;1000;0
546158;1000;0
546672;1000;0
547187;1000;0
547701;1000;0
548215;1000;0
548728;1000;0
549229;1000;0
549742;1000;0
550256;1000;0
550756;1000;0
551257;1000;0
551757;1000;0
552271;1000;0
552782;1000;0
553297;1000;0
553795;1000;0
554307;1000;0
554820;1000;0
555321;1000;0
555834;1000;0
556348;1000;0
556848;1000;0
557351;1000;0
557862;1000;40
558374;1000;0
558888;1000;0
559401;1000;0
559913;1000;0
560428;1000;0
560944;1000;0
561458;1000;0
561973;1000;0
562484;1000;0
562984;1000;338
563485;1000;0
563998;1000;0
564512;1000;0
565011;1000;0
565521;1000;378
566023;1000;0
566538;1000;87
567049;1000;0
567561;1000;0
568075;1000;0
568585;1000;360
569098;1000;0
569612;1000;0
570125;1000;0
570624;1000;0
571137;1000;0
571635;1000;197
572150;1000;0
572664;1000;1899
573178;1000;1794
573677;1000;2521
574190;1000;2218
574705;1000;2098
575205;1000;1098
575710;1000;817
576225;1000;353
576742;1000;12
577254;1000;0
577752;1000;508
578262;1000;381
578764;1000;0
579263;1000;0
579776;1000;0
580290;1000;0
580790;1000;0
581289;1000;0
581792;1000;0
582293;1000;0
582796;1000;114
583305;1000;0
583820;1000;235
584320;1000;65
584824;1000;0
585330;1000;0
585829;1000;159
586340;1000;0
586841;1000;0
587355;1000;0
587856;1000;0
588363;1000;0
588864;1000;0
589377;1000;881
589876;1000;0
590390;1000;0
590903;1000;479
591419;1000;0
