Timestamp; Priority1;Priority2;Priority3;Priority4;Total read
554429;20628;41399;61556;287154;410737;
555439;20671;41476;61694;287896;411737;
556454;20722;41573;61843;288599;412737;
557470;20757;41640;61949;289391;413737;
558483;20820;41771;62176;289970;414737;
559494;20868;41879;62338;290652;415737;
560504;20895;41925;62411;291506;416737;
561515;20966;42089;62626;292056;417737;
562531;20984;42130;62686;292937;418737;
563539;21005;42191;62748;293793;419737;
564541;21069;42329;62954;294385;420737;
565553;21131;42459;63161;294986;421737;
566565;21189;42555;63318;295675;422737;
567575;21266;42679;63527;296265;423737;
568586;21314;42798;63688;296937;424737;
569595;21355;42891;63860;297631;425737;
570604;21406;42991;64016;298324;426737;
571614;21488;43174;64238;298837;427737;
572629;21567;43331;64458;299381;428737;
573638;21623;43446;64645;300023;429737;
574654;21725;43628;64952;300432;430737;
575669;21815;43821;65253;300848;431737;
576673;21911;43993;65571;301262;432737;
577687;22003;44200;65866;301668;433737;
578695;22092;44357;66116;302172;434737;
579695;22158;44496;66310;302773;435737;
580708;22264;44677;66613;303183;436737;
581707;22310;44769;66725;303933;437737;
582709;22411;44939;66968;304419;438737;
583708;22502;45126;67263;304846;439737;
584721;22547;45311;67557;305322;440737;
585729;22658;45443;67787;305849;441737;
586740;22704;45488;67855;306690;442737;
587753;22795;45675;68225;307042;443737;
588768;22826;45746;68332;307833;444737;
589772;22899;45888;68476;308474;445737;
590791;22970;46033;68795;308939;446737;
591803;23014;46142;68831;309750;447737;
592819;23098;46312;69052;310275;448737;
593833;23163;46435;69250;310889;449737;
594836;23249;46580;69483;311425;450737;
595849;23355;46764;69794;311824;451737;
596859;23418;46912;70024;312383;452737;
597873;23454;46956;70105;313222;453737;
598885;23528;47074;70281;313854;454737;
599902;23568;47152;70384;314633;455737;
600915;23624;47301;70554;315258;456737;
601924;23673;47378;70668;316018;457737;
602939;23756;47558;70934;316489;458737;
603953;23854;47737;71190;316956;459737;
604959;23889;47825;71282;317741;460737;
605975;23910;47877;71362;318588;461737;
606986;23960;47965;71473;319339;462737;
608002;24068;48150;71781;319738;463737;
609015;24166;48335;72084;320152;464737;
610030;24244;48511;72389;320593;465737;
611039;24291;48609;72546;321291;466737;
612050;24377;48771;72777;321812;467737;
613057;24451;48928;72985;322373;468737;
614059;24516;49039;73176;323006;469737;
615073;24576;49172;73358;323631;470737;
616085;24629;49311;73547;324250;471737;
617094;24676;49415;73697;324949;472737;
618102;24739;49533;73883;325582;473737;
619106;24832;49718;74152;326035;474737;
620114;24853;49785;74228;326871;475737;
621117;24920;49943;74430;327444;476737;
622117;24940;49984;74498;328315;477737;
623129;25013;50136;74716;328872;478737;
624143;25109;50313;74969;329346;479737;
625156;25146;50383;75093;330115;480737;
626172;25177;50449;75172;330939;481737;
627177;25255;50630;75402;331450;482737;
628188;25327;50760;75625;332025;483737;
629202;25403;50933;75871;332530;484737;
630210;25465;51069;76065;333138;485737;
631223;25501;51135;76159;333942;486737;
632239;25555;51236;76302;334644;487737;
633254;25602;51399;76554;335182;488737;
634267;25663;51434;76604;336036;489737;
635277;25705;51506;76701;336825;490737;
636288;25739;51598;76953;337447;491737;
637303;25837;51793;77103;338004;492737;
638317;25915;51914;77312;338596;493737;
639330;25962;51993;77424;339358;494737;
640345;25978;52037;77494;340228;495737;
641357;25998;52088;77585;341066;496737;
642367;26065;52224;77802;341646;497737;
643381;26131;52366;78007;342233;498737;
644391;26230;52545;78281;342681;499737;
645399;26300;52692;78505;343240;500737;
646406;26361;52846;78730;343800;501737;
647413;26437;52991;78968;344341;502737;
648429;26506;53136;79186;344909;503737;
649434;26564;53277;79390;345506;504737;
650437;26636;53441;79648;346012;505737;
651436;26669;53494;79728;346846;506737;
652437;26712;53602;79873;347550;507737;
653451;26810;53788;80166;347973;508737;
654456;26905;53960;80464;348408;509737;
655457;26957;54036;80603;349141;510737;
656471;27046;54190;80842;349659;511737;
657486;27110;54324;81043;350260;512737;
658490;27162;54422;81189;350964;513737;
659488;27186;54484;81287;351780;514737;
660497;27219;54528;81369;352621;515737;
661496;27320;54730;81672;353015;516737;
662508;27366;54816;81784;353771;517737;
663507;27450;54979;82037;354271;518737;
664519;27532;55099;82245;354861;519737;
665532;27600;55214;82433;355490;520737;
666548;27676;55365;82697;355999;521737;
667552;27693;55404;82764;356876;522737;
668556;27744;55465;82871;357657;523737;
669572;27789;55541;82992;358415;524737;
670581;27832;55629;83128;359148;525737;
671595;27917;55803;83391;359626;526737;
672601;27968;55927;83552;360290;527737;
673611;28034;56068;83767;360868;528737;
674621;28065;56107;83837;361728;529737;
675628;28156;56306;84115;362160;530737;
676642;28208;56441;84258;362830;531737;
677656;28242;56537;84384;363574;532737;
678670;28262;56581;84443;364451;533737;
679680;28355;56755;84719;364908;534737;
680695;28424;56892;84957;365464;535737;
681708;28510;57072;85218;365937;536737;
682708;28558;57155;85356;366668;537737;
683710;28587;57209;85454;367487;538737;
684718;28639;57318;85605;368175;539737;
685719;28699;57417;85738;368883;540737;
686730;28749;57514;85905;369569;541737;
687730;28809;57612;86082;370234;542737;
688733;28875;57750;86274;370838;543737;
689741;28921;57851;86411;371554;544737;
690746;29021;58042;86705;371969;545737;
691758;29087;58176;86903;372571;546737;
692773;29153;58279;87050;373255;547737;
693774;29263;58479;87350;373645;548737;
694782;29311;58579;87513;374334;549737;
695784;29368;58701;87698;374970;550737;
696795;29396;58796;87831;375714;551737;
697805;29451;58889;87972;376425;552737;
698806;29560;59081;88261;376835;553737;
699818;29609;59175;88396;377557;554737;
700833;29630;59210;88448;378449;555737;
701834;29709;59368;88708;378952;556737;
702846;29801;59580;88993;379363;557737;
703854;29875;59735;89229;379898;558737;
704863;29925;59930;89521;380361;559737;
705867;30024;60025;89677;381011;560737;
706877;30142;60212;90127;381256;561737;
707890;30182;60388;90277;381890;562737;
708903;30286;60486;90484;382481;563737;
709917;30310;60535;90484;383408;564737;
710935;30405;60713;90790;383829;565737;
711936;30461;60830;90978;384468;566737;
712944;30511;60906;91107;385213;567737;
713957;30525;60945;91166;386101;568737;
714970;30594;61105;91362;386676;569737;
715972;30623;61159;91433;387522;570737;
716987;30675;61252;91576;388234;571737;
717999;30746;61398;91795;388798;572737;
719016;30781;61469;91887;389600;573737;
720027;30830;61574;92022;390311;574737;
721038;30916;61735;92264;390822;575737;
722048;30965;61863;92438;391471;576737;
723049;31006;61929;92534;392268;577737;
724063;31114;62113;92796;392714;578737;
725077;31150;62198;92937;393452;579737;
726076;31204;62295;93084;394154;580737;
727091;31275;62462;93280;394720;581737;
728102;31340;62567;93439;395391;582737;
729110;31433;62772;93770;395762;583737;
730127;31525;62955;94061;396196;584737;
731139;31606;63132;94321;396678;585737;
732150;31674;63276;94541;397246;586737;
733166;31753;63438;94779;397767;587737;
734175;31828;63591;94979;398339;588737;
735185;31910;63747;95241;398839;589737;
736191;31947;63811;95348;399631;590737;
737202;32023;63941;95576;400197;591737;
738216;32074;64053;95705;400905;592737;
739217;32161;64235;95967;401374;593737;
740231;32173;64283;96012;402269;594737;
