Timestamp; P1 ; PowerPriority1; msgPerPriority1; Real reads (remaining)1; Real receibed1; P2 ; PowerPriority2; msgPerPriority2; Real reads (remaining)2; Real receibed2; P3 ; PowerPriority3; msgPerPriority3; Real reads (remaining)3; Real receibed3; P4 ; PowerPriority4; msgPerPriority4; Real reads (remaining)4; Real receibed4;  Expired; Request; Read; Remaining final
160535;1;1;533;533;57;2;0.5;267;743;127;3;0.25;133;749;179;4;0.125;67;637;637;0;0;0;0
161552;1;1;533;533;104;2;0.5;267;696;191;3;0.25;133;638;301;4;0.125;67;404;404;0;0;0;0
162561;1;1;533;533;65;2;0.5;267;735;155;3;0.25;133;713;194;4;0.125;67;586;586;0;0;0;0
163568;1;1;533;533;51;2;0.5;267;749;105;3;0.25;133;777;145;4;0.125;67;699;699;0;0;0;0
164562;1;1;533;533;79;2;0.5;267;721;182;3;0.25;133;672;249;4;0.125;67;490;490;0;0;0;0
165572;1;1;533;533;83;2;0.5;267;717;155;3;0.25;133;695;219;4;0.125;67;543;543;0;0;0;0
166584;1;1;533;533;88;2;0.5;267;712;150;3;0.25;133;695;256;4;0.125;67;506;506;0;0;0;0
167613;1;1;533;533;20;2;0.5;267;780;38;3;0.25;133;875;51;4;0.125;67;891;891;0;0;0;0
168603;1;1;533;533;73;2;0.5;267;727;131;3;0.25;133;729;203;4;0.125;67;593;593;0;0;0;0
169634;1;1;533;533;74;2;0.5;267;726;167;3;0.25;133;692;251;4;0.125;67;508;508;0;0;0;0
170632;1;1;533;533;68;2;0.5;267;732;130;3;0.25;133;735;198;4;0.125;67;604;604;0;0;0;0
171650;1;1;533;533;18;2;0.5;267;782;43;3;0.25;133;872;49;4;0.125;67;890;890;0;0;0;0
172655;1;1;533;533;72;2;0.5;267;728;122;3;0.25;133;739;211;4;0.125;67;595;595;0;0;0;0
173658;1;1;533;533;77;2;0.5;267;723;147;3;0.25;133;709;234;4;0.125;67;542;542;0;0;0;0
174666;1;1;533;533;73;2;0.5;267;727;94;3;0.25;133;766;157;4;0.125;67;676;676;0;0;0;0
175680;1;1;533;533;74;2;0.5;267;726;158;3;0.25;133;701;210;4;0.125;67;558;558;0;0;0;0
176705;1;1;533;533;48;2;0.5;267;752;104;3;0.25;133;781;135;4;0.125;67;713;713;0;0;0;0
177714;1;1;533;533;63;2;0.5;267;737;119;3;0.25;133;751;194;4;0.125;67;624;624;0;0;0;0
178724;1;1;533;533;22;2;0.5;267;778;30;3;0.25;133;881;62;4;0.125;67;886;886;0;0;0;0
179745;1;1;533;533;43;2;0.5;267;757;79;3;0.25;133;811;89;4;0.125;67;789;789;0;0;0;0
180751;1;1;533;533;42;2;0.5;267;758;81;3;0.25;133;810;133;4;0.125;67;744;744;0;0;0;0
181758;1;1;533;533;34;2;0.5;267;766;55;3;0.25;133;844;102;4;0.125;67;809;809;0;0;0;0
182763;1;1;533;533;64;2;0.5;267;736;121;3;0.25;133;748;187;4;0.125;67;628;628;0;0;0;0
183764;1;1;533;533;109;2;0.5;267;691;196;3;0.25;133;628;321;4;0.125;67;374;374;0;0;0;0
184806;1;1;533;533;46;2;0.5;267;754;175;3;0.25;133;712;315;4;0.125;67;464;464;0;0;0;0
185785;1;1;533;533;86;2;0.5;267;714;106;3;0.25;133;741;142;4;0.125;67;666;666;0;0;0;0
186797;1;1;533;533;88;2;0.5;267;712;185;3;0.25;133;660;243;4;0.125;67;484;484;0;0;0;0
187803;1;1;533;533;92;2;0.5;267;708;215;3;0.25;133;626;276;4;0.125;67;417;417;0;0;0;0
188825;1;1;533;533;111;2;0.5;267;689;184;3;0.25;133;638;296;4;0.125;67;409;409;0;0;0;0
189835;1;1;533;533;22;2;0.5;267;778;31;3;0.25;133;880;53;4;0.125;67;894;894;0;0;0;0
190846;1;1;533;533;86;2;0.5;267;714;136;3;0.25;133;711;226;4;0.125;67;552;552;0;0;0;0
191852;1;1;533;533;34;2;0.5;267;766;58;3;0.25;133;841;85;4;0.125;67;823;823;0;0;0;0
192868;1;1;533;533;24;2;0.5;267;776;85;3;0.25;133;824;100;4;0.125;67;791;791;0;0;0;0
193879;1;1;533;533;67;2;0.5;267;733;121;3;0.25;133;745;173;4;0.125;67;639;639;0;0;0;0
194889;1;1;533;533;44;2;0.5;267;756;130;3;0.25;133;759;216;4;0.125;67;610;610;0;0;0;0
195900;1;1;533;533;20;2;0.5;267;780;55;3;0.25;133;858;81;4;0.125;67;844;844;0;0;0;0
196913;1;1;533;533;24;2;0.5;267;776;46;3;0.25;133;863;91;4;0.125;67;839;839;0;0;0;0
197925;1;1;533;533;24;2;0.5;267;776;35;3;0.25;133;874;53;4;0.125;67;888;888;0;0;0;0
198936;1;1;533;533;62;2;0.5;267;738;123;3;0.25;133;748;143;4;0.125;67;672;672;0;0;0;0
199949;1;1;533;533;40;2;0.5;267;760;71;3;0.25;133;822;107;4;0.125;67;782;782;0;0;0;0
200965;1;1;533;533;37;2;0.5;267;763;81;3;0.25;133;815;103;4;0.125;67;779;779;0;0;0;0
201974;1;1;533;533;77;2;0.5;267;723;165;3;0.25;133;691;197;4;0.125;67;561;561;0;0;0;0
202984;1;1;533;533;46;2;0.5;267;754;87;3;0.25;133;800;127;4;0.125;67;740;740;0;0;0;0
203996;1;1;533;533;63;2;0.5;267;737;140;3;0.25;133;730;203;4;0.125;67;594;594;0;0;0;0
205007;1;1;533;533;26;2;0.5;267;774;52;3;0.25;133;855;65;4;0.125;67;857;857;0;0;0;0
206019;1;1;533;533;39;2;0.5;267;761;84;3;0.25;133;810;124;4;0.125;67;753;753;0;0;0;0
207020;1;1;533;533;106;2;0.5;267;694;187;3;0.25;133;640;288;4;0.125;67;419;419;0;0;0;0
208031;1;1;533;533;39;2;0.5;267;761;110;3;0.25;133;784;132;4;0.125;67;719;719;0;0;0;0
209051;1;1;533;533;61;2;0.5;267;739;131;3;0.25;133;741;212;4;0.125;67;596;596;0;0;0;0
210059;1;1;533;533;95;2;0.5;267;705;224;3;0.25;133;614;293;4;0.125;67;388;388;0;0;0;0
