Timestamp; P1 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos;  P2 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; P3 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; P4 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; Expirados; Solicitados; Leidos; Remaining final
19418;1;1;427;427;38;2;0.5;213;602;66;3;0.25;107;643;118;4;0.125;53;578;578;0;0;0;0
19523;1;1;427;427;47;2;0.5;213;593;85;3;0.25;107;615;126;4;0.125;53;542;542;0;0;0;0
19633;1;1;427;427;39;2;0.5;213;601;89;3;0.25;107;619;112;4;0.125;53;560;560;0;0;0;0
19740;1;1;427;427;31;2;0.5;213;609;60;3;0.25;107;656;122;4;0.125;53;587;587;0;0;0;0
19849;1;1;427;427;42;2;0.5;213;598;83;3;0.25;107;622;124;4;0.125;53;551;551;0;0;0;0
19959;1;1;427;427;34;2;0.5;213;606;75;3;0.25;107;638;119;4;0.125;53;572;572;0;0;0;0
20066;1;1;427;427;31;2;0.5;213;609;72;3;0.25;107;644;131;4;0.125;53;566;566;0;0;0;0
20174;1;1;427;427;40;2;0.5;213;600;80;3;0.25;107;627;119;4;0.125;53;561;561;0;0;0;0
20284;1;1;427;427;35;2;0.5;213;605;81;3;0.25;107;631;116;4;0.125;53;568;568;0;0;0;0
20395;1;1;427;427;43;2;0.5;213;597;74;3;0.25;107;630;99;4;0.125;53;584;584;0;0;0;0
20507;1;1;427;427;51;2;0.5;213;589;72;3;0.25;107;624;128;4;0.125;53;549;549;0;0;0;0
20616;1;1;427;427;46;2;0.5;213;594;78;3;0.25;107;623;108;4;0.125;53;568;568;0;0;0;0
20725;1;1;427;427;29;2;0.5;213;611;91;3;0.25;107;627;120;4;0.125;53;560;560;0;0;0;0
20832;1;1;427;427;42;2;0.5;213;598;68;3;0.25;107;637;120;4;0.125;53;570;570;0;0;0;0
20938;1;1;427;427;40;2;0.5;213;600;75;3;0.25;107;632;119;4;0.125;53;566;566;0;0;0;0
21047;1;1;427;427;36;2;0.5;213;604;85;3;0.25;107;626;121;4;0.125;53;558;558;0;0;0;0
21159;1;1;427;427;42;2;0.5;213;598;79;3;0.25;107;626;108;4;0.125;53;571;571;0;0;0;0
21270;1;1;427;427;28;2;0.5;213;612;84;3;0.25;107;635;125;4;0.125;53;563;563;0;0;0;0
21378;1;1;427;427;45;2;0.5;213;595;77;3;0.25;107;625;131;4;0.125;53;547;547;0;0;0;0
21485;1;1;427;427;42;2;0.5;213;598;81;3;0.25;107;624;125;4;0.125;53;552;552;0;0;0;0
21595;1;1;427;427;32;2;0.5;213;608;79;3;0.25;107;636;108;4;0.125;53;581;581;0;0;0;0
21706;1;1;427;427;30;2;0.5;213;610;75;3;0.25;107;642;126;4;0.125;53;569;569;0;0;0;0
21813;1;1;427;427;48;2;0.5;213;592;78;3;0.25;107;621;115;4;0.125;53;559;559;0;0;0;0
21924;1;1;427;427;38;2;0.5;213;602;89;3;0.25;107;620;128;4;0.125;53;545;545;0;0;0;0
22031;1;1;427;427;40;2;0.5;213;600;89;3;0.25;107;618;115;4;0.125;53;556;556;0;0;0;0
22141;1;1;427;427;47;2;0.5;213;593;96;3;0.25;107;604;122;4;0.125;53;535;535;0;0;0;0
22254;1;1;427;427;30;2;0.5;213;610;77;3;0.25;107;640;123;4;0.125;53;570;570;0;0;0;0
22360;1;1;427;427;31;2;0.5;213;609;71;3;0.25;107;645;109;4;0.125;53;589;589;0;0;0;0
22468;1;1;427;427;37;2;0.5;213;603;76;3;0.25;107;634;120;4;0.125;53;567;567;0;0;0;0
