Timestamp; Leidos por Classifier; Quedan en cola
139743;800;32007
139849;800;31207
139958;800;30407
140066;800;29607
140175;800;28807
140283;800;28007
140393;800;27207
140505;800;26407
140613;800;25607
140721;800;24807
140829;800;24007
140939;800;23207
141049;800;22407
141158;800;21607
141266;800;20807
141375;800;20007
141483;800;19207
141592;800;18407
141703;800;17607
141814;800;16807
141920;800;16007
142031;800;15207
142139;800;14407
142247;800;13607
142355;800;12807
142463;800;12007
142573;800;11207
142683;800;10407
142791;800;9607
142900;800;8807
143010;800;8007
143118;800;7207
143228;800;6407
143338;800;5607
143446;800;4807
143556;800;4007
143666;800;3207
143774;800;2407
143884;800;1607
143991;800;807
144098;800;7
144207;800;0
144317;800;0
144427;800;0
144536;800;0
144644;800;0
144753;800;0
144863;800;0
144973;800;0
145083;800;0
145190;800;0
145298;800;0
145408;800;0
145516;800;0
145624;800;0
145733;800;0
145842;800;0
145952;800;0
146059;800;0
146170;800;0
146277;800;0
146387;800;0
146494;800;0
146604;800;0
146711;800;0
146820;800;0
146927;800;0
147036;800;0
147145;800;0
147254;800;0
147363;800;0
147472;800;0
147580;800;0
147688;800;0
147799;800;0
147908;800;0
148016;800;0
148126;800;0
148232;800;0
148341;800;0
148450;800;0
148560;800;0
148669;800;0
148778;800;0
148884;800;0
148991;800;0
149101;800;0
149210;800;0
149321;800;0
149430;800;0
149541;800;0
149649;800;0
149758;800;0
149866;800;0
149975;800;0
150084;800;0
