Timestamp; P1 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos;  P2 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; P3 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; P4 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; Expirados; Solicitados; Leidos; Remaining final
88881;1;1;320;320;0;2;0.5;160;480;138;3;0.25;80;422;121;4;0.125;40;341;181;NaN0;0;0;0
89890;1;1;320;320;0;2;0.5;160;480;138;3;0.25;80;422;152;4;0.125;40;310;153;NaN0;0;0;0
90899;1;1;320;320;0;2;0.5;160;480;134;3;0.25;80;426;162;4;0.125;40;304;150;NaN0;0;0;0
91896;1;1;320;320;0;2;0.5;160;480;157;3;0.25;80;403;147;4;0.125;40;296;146;NaN0;0;0;0
92916;1;1;320;320;0;2;0.5;160;480;138;3;0.25;80;422;147;4;0.125;40;315;161;NaN0;0;0;0
93916;1;1;320;320;0;2;0.5;160;480;156;3;0.25;80;404;152;4;0.125;40;292;145;NaN0;0;0;0
94929;1;1;320;320;0;2;0.5;160;480;161;3;0.25;80;399;150;4;0.125;40;289;127;NaN0;0;0;0
95948;1;1;320;320;0;2;0.5;160;480;134;3;0.25;80;426;159;4;0.125;40;307;142;NaN0;0;0;0
96951;1;1;320;320;0;2;0.5;160;480;169;3;0.25;80;391;133;4;0.125;40;298;148;NaN0;0;0;0
97981;1;1;320;320;0;2;0.5;160;480;142;3;0.25;80;418;148;4;0.125;40;310;139;NaN0;0;0;0
98975;1;1;320;320;0;2;0.5;160;480;171;3;0.25;80;389;145;4;0.125;40;284;134;NaN0;0;0;0
99997;1;1;320;320;0;2;0.5;160;480;155;3;0.25;80;405;152;4;0.125;40;293;138;NaN0;0;0;0
101009;1;1;320;320;0;2;0.5;160;480;149;3;0.25;80;411;167;4;0.125;40;284;153;NaN0;0;0;0
102013;1;1;320;320;0;2;0.5;160;480;151;3;0.25;80;409;142;4;0.125;40;307;147;NaN0;0;0;0
103014;1;1;320;320;0;2;0.5;160;480;142;3;0.25;80;418;173;4;0.125;40;285;133;NaN0;0;0;0
104032;1;1;320;320;0;2;0.5;160;480;149;3;0.25;80;411;151;4;0.125;40;300;140;NaN0;0;0;0
105023;1;1;320;320;0;2;0.5;160;480;142;3;0.25;80;418;155;4;0.125;40;303;165;NaN0;0;0;0
106032;1;1;320;320;0;2;0.5;160;480;146;3;0.25;80;414;142;4;0.125;40;312;165;NaN0;0;0;0
107066;1;1;320;320;0;2;0.5;160;480;168;3;0.25;80;392;131;4;0.125;40;301;159;NaN0;0;0;0
108059;1;1;320;320;0;2;0.5;160;480;123;3;0.25;80;437;146;4;0.125;40;331;171;NaN0;0;0;0
109073;1;1;320;320;0;2;0.5;160;480;147;3;0.25;80;413;159;4;0.125;40;294;150;NaN0;0;0;0
110083;1;1;320;320;0;2;0.5;160;480;137;3;0.25;80;423;159;4;0.125;40;304;159;NaN0;0;0;0
111092;1;1;320;320;148;2;0.5;160;332;168;3;0.25;80;244;152;4;0.125;40;132;132;0;0;0;0
112099;1;1;320;320;162;2;0.5;160;318;138;3;0.25;80;260;143;4;0.125;40;157;157;0;0;0;0
113104;1;1;320;320;161;2;0.5;160;319;159;3;0.25;80;240;144;4;0.125;40;136;136;0;0;0;0
114112;1;1;320;320;158;2;0.5;160;322;150;3;0.25;80;252;149;4;0.125;40;143;143;0;0;0;0
115129;1;1;320;320;166;2;0.5;160;314;146;3;0.25;80;248;145;4;0.125;40;143;143;0;0;0;0
116139;1;1;320;320;159;2;0.5;160;321;145;3;0.25;80;256;150;4;0.125;40;146;146;0;0;0;0
117145;1;1;320;320;144;2;0.5;160;336;139;3;0.25;80;277;158;4;0.125;40;159;159;0;0;0;0
118155;1;1;320;320;153;2;0.5;160;327;145;3;0.25;80;262;173;4;0.125;40;129;129;0;0;0;0
119170;1;1;320;320;153;2;0.5;160;327;147;3;0.25;80;260;147;4;0.125;40;153;153;0;0;0;0
120169;1;1;320;320;150;2;0.5;160;330;135;3;0.25;80;275;168;4;0.125;40;147;147;0;0;0;0
121191;1;1;320;320;158;2;0.5;160;322;150;3;0.25;80;252;146;4;0.125;40;146;146;0;0;0;0
122186;1;1;320;320;160;2;0.5;160;320;140;3;0.25;80;260;146;4;0.125;40;154;154;0;0;0;0
123196;1;1;320;320;150;2;0.5;160;330;152;3;0.25;80;258;156;4;0.125;40;142;142;0;0;0;0
124202;1;1;320;320;147;2;0.5;160;333;140;3;0.25;80;273;149;4;0.125;40;164;164;0;0;0;0
125221;1;1;320;320;174;2;0.5;160;306;151;3;0.25;80;235;132;4;0.125;40;143;143;0;0;0;0
126224;1;1;320;320;158;2;0.5;160;322;150;3;0.25;80;252;150;4;0.125;40;142;142;0;0;0;0
127256;1;1;320;320;139;2;0.5;160;341;143;3;0.25;80;278;170;4;0.125;40;148;148;0;0;0;0
128233;1;1;320;320;138;2;0.5;160;342;143;3;0.25;80;279;173;4;0.125;40;146;146;0;0;0;0
129245;1;1;320;320;156;2;0.5;160;324;152;3;0.25;80;252;135;4;0.125;40;157;157;0;0;0;0
130258;1;1;320;320;139;2;0.5;160;341;160;3;0.25;80;261;140;4;0.125;40;161;161;0;0;0;0
131265;1;1;320;320;141;2;0.5;160;339;149;3;0.25;80;270;152;4;0.125;40;158;158;0;0;0;0
132285;1;1;320;320;130;2;0.5;160;350;152;3;0.25;80;278;169;4;0.125;40;149;149;0;0;0;0
133322;1;1;320;320;149;2;0.5;160;331;150;3;0.25;80;261;151;4;0.125;40;150;150;0;0;0;0
134315;1;1;320;320;145;2;0.5;160;335;150;3;0.25;80;265;152;4;0.125;40;153;153;0;0;0;0
135316;1;1;320;320;156;2;0.5;160;324;147;3;0.25;80;257;153;4;0.125;40;144;144;0;0;0;0
136328;1;1;320;320;159;2;0.5;160;321;138;3;0.25;80;263;156;4;0.125;40;147;147;0;0;0;0
137330;1;1;320;320;165;2;0.5;160;315;136;3;0.25;80;259;144;4;0.125;40;155;155;0;0;0;0
138350;1;1;320;320;151;2;0.5;160;329;144;3;0.25;80;265;142;4;0.125;40;163;163;0;0;0;0
139356;1;1;320;320;160;2;0.5;160;320;163;3;0.25;80;237;143;4;0.125;40;134;134;0;0;0;0
140369;1;1;320;320;161;2;0.5;160;319;156;3;0.25;80;243;151;4;0.125;40;132;132;0;0;0;0
141394;1;1;320;320;119;2;0.5;160;361;154;3;0.25;80;287;165;4;0.125;40;162;162;0;0;0;0
142393;1;1;320;320;150;2;0.5;160;330;151;3;0.25;80;259;155;4;0.125;40;144;144;0;0;0;0
143383;1;1;320;320;128;2;0.5;160;352;147;3;0.25;80;285;162;4;0.125;40;163;163;0;0;0;0
144402;1;1;320;320;163;2;0.5;160;317;158;3;0.25;80;239;152;4;0.125;40;127;127;0;0;0;0
145415;1;1;320;320;153;2;0.5;160;327;140;3;0.25;80;267;152;4;0.125;40;155;155;0;0;0;0
146445;1;1;320;320;145;2;0.5;160;335;137;3;0.25;80;278;157;4;0.125;40;161;161;0;0;0;0
147446;1;1;320;320;151;2;0.5;160;329;159;3;0.25;80;250;148;4;0.125;40;142;142;0;0;0;0
148441;1;1;320;320;156;2;0.5;160;324;138;3;0.25;80;266;165;4;0.125;40;141;141;0;0;0;0
149451;1;1;320;320;142;2;0.5;160;338;160;3;0.25;80;258;144;4;0.125;40;154;154;0;0;0;0
150450;1;1;320;320;147;2;0.5;160;333;165;3;0.25;80;248;129;4;0.125;40;159;159;0;0;0;0
151464;1;1;320;320;159;2;0.5;160;321;142;3;0.25;80;259;160;4;0.125;40;139;139;0;0;0;0
152497;1;1;320;320;160;2;0.5;160;320;152;3;0.25;80;248;143;4;0.125;40;145;145;0;0;0;0
153484;1;1;320;320;0;2;0.5;160;480;163;3;0.25;80;397;148;4;0.125;40;289;142;NaN0;0;0;0
