Timestamp; Pedidos por  Dispatcher; Leidos por Dispatcher; Cola Leida; Quedan Cola P1; Quedan Cola P2; Quedan Cola P3; Quedan Cola P4, Quedan Cola Expirados
101501;480;149;2;0;0;167;153;131
101504;411;167;3;0;0;0;153;131
101512;284;153;4;0;0;0;0;131
101522;131;131;0;0;0;0;0;0
102505;320;0;1;0;151;142;147;160
102508;480;151;2;0;0;142;147;160
102523;307;147;4;0;0;0;0;160
102518;409;142;3;0;0;0;147;160
102526;160;160;0;0;0;0;0;0
103512;320;0;1;0;142;173;133;152
103523;285;133;4;0;0;0;0;152
103517;480;142;2;0;0;173;133;152
103526;152;152;0;0;0;0;0;0
103521;418;173;3;0;0;0;133;152
104524;320;0;1;0;149;151;140;160
104530;480;149;2;0;0;151;140;160
104536;411;151;3;0;0;0;140;160
104541;300;140;4;0;0;0;0;160
104545;160;160;0;0;0;0;0;0
105517;320;0;1;0;142;155;165;138
105520;480;142;2;0;0;155;165;138
105523;418;155;3;0;0;0;165;138
105531;303;165;4;0;0;0;0;138
105535;138;138;0;0;0;0;0;0
106531;320;0;1;0;146;142;165;147
106534;480;146;2;0;0;142;165;147
106537;414;142;3;0;0;0;165;147
106540;312;165;4;0;0;0;0;147
106544;147;147;0;0;0;0;0;0
107543;320;0;1;0;168;131;159;142
107547;480;168;2;0;0;131;159;142
107554;392;131;3;0;0;0;159;142
107568;301;159;4;0;0;0;0;142
107577;142;142;0;0;0;0;0;0
108552;320;0;1;0;123;146;171;160
108555;480;123;2;0;0;146;171;160
108565;437;146;3;0;0;0;171;160
108570;331;171;4;0;0;0;0;160
108572;160;160;0;0;0;0;0;0
109571;480;147;2;0;0;159;150;144
109567;320;0;1;0;147;159;150;144
109576;413;159;3;0;0;0;150;144
109582;294;150;4;0;0;0;0;144
109586;144;144;0;0;0;0;0;0
110577;480;137;2;0;0;159;159;145
110574;320;0;1;0;137;159;159;145
110590;423;159;3;0;0;0;159;145
110593;304;159;4;0;0;0;0;145
110596;145;145;0;0;0;0;0;0
111582;320;148;1;0;168;152;132;0
111585;332;168;2;0;0;152;132;0
111599;244;152;3;0;0;0;132;0
111604;132;132;4;0;0;0;0;0
112593;320;162;1;0;138;143;157;0
112597;318;138;2;0;0;143;157;0
112602;260;143;3;0;0;0;157;0
112608;157;157;4;0;0;0;0;0
113604;320;161;1;0;159;144;136;0
113607;319;159;2;0;0;144;136;0
113611;240;144;3;0;0;0;136;0
113616;136;136;4;0;0;0;0;0
114608;320;158;1;0;150;149;143;0
114623;252;149;3;0;0;0;143;0
114620;322;150;2;0;0;149;143;0
114625;143;143;4;0;0;0;0;0
115619;320;166;1;0;146;145;143;0
115624;314;146;2;0;0;145;143;0
115637;143;143;4;0;0;0;0;0
115628;248;145;3;0;0;0;143;0
116629;320;159;1;0;145;150;146;0
116633;321;145;2;0;0;150;146;0
116646;256;150;3;0;0;0;146;0
116652;146;146;4;0;0;0;0;0
117643;320;144;1;0;139;158;159;0
117647;336;139;2;0;0;158;159;0
117650;277;158;3;0;0;0;159;0
117658;159;159;4;0;0;0;0;0
118646;320;153;1;0;145;173;129;0
118651;327;145;2;0;0;173;129;0
118655;262;173;3;0;0;0;129;0
118668;129;129;4;0;0;0;0;0
119659;320;153;1;0;147;147;153;0
119662;327;147;2;0;0;147;153;0
119675;260;147;3;0;0;0;153;0
119683;153;153;4;0;0;0;0;0
120668;320;150;1;0;135;168;147;0
120674;330;135;2;0;0;168;147;0
120677;275;168;3;0;0;0;147;0
120681;147;147;4;0;0;0;0;0
121678;320;158;1;0;150;146;146;0
121684;322;150;2;0;0;146;146;0
121700;252;146;3;0;0;0;146;0
121703;146;146;4;0;0;0;0;0
122689;320;160;1;0;140;146;154;0
122692;320;140;2;0;0;146;154;0
122695;260;146;3;0;0;0;154;0
122697;154;154;4;0;0;0;0;0
123699;320;150;1;0;152;156;142;0
123703;330;152;2;0;0;156;142;0
123705;258;156;3;0;0;0;142;0
123708;142;142;4;0;0;0;0;0
124703;320;147;1;0;140;149;164;0
124709;273;149;3;0;0;0;164;0
124706;333;140;2;0;0;149;164;0
124715;164;164;4;0;0;0;0;0
125714;320;174;1;0;151;132;143;0
125727;306;151;2;0;0;132;143;0
125730;235;132;3;0;0;0;143;0
125733;143;143;4;0;0;0;0;0
126720;320;158;1;0;150;150;142;0
126724;322;150;2;0;0;150;142;0
126728;252;150;3;0;0;0;142;0
126736;142;142;4;0;0;0;0;0
127741;320;139;1;0;143;170;148;0
127755;341;143;2;0;0;170;148;0
127760;278;170;3;0;0;0;148;0
127764;148;148;4;0;0;0;0;0
128740;320;138;1;0;143;173;146;0
128741;342;143;2;0;0;173;146;0
128744;279;173;3;0;0;0;146;0
128746;146;146;4;0;0;0;0;0
129742;320;156;1;0;152;135;157;0
129747;324;152;2;0;0;135;157;0
129751;252;135;3;0;0;0;157;0
129757;157;157;4;0;0;0;0;0
130751;320;139;1;0;160;140;161;0
130759;341;160;2;0;0;140;161;0
130764;261;140;3;0;0;0;161;0
130770;161;161;4;0;0;0;0;0
131766;320;141;1;0;149;152;158;0
131769;339;149;2;0;0;152;158;0
131772;270;152;3;0;0;0;158;0
131777;158;158;4;0;0;0;0;0
132785;320;130;1;0;152;169;149;0
132789;350;152;2;0;0;169;149;0
132793;278;169;3;0;0;0;149;0
132797;149;149;4;0;0;0;0;0
133794;320;149;1;0;150;151;150;0
133810;331;150;2;0;0;151;150;0
133814;261;151;3;0;0;0;150;0
133833;150;150;4;0;0;0;0;0
134802;320;145;1;0;150;152;153;0
134810;335;150;2;0;0;152;153;0
134819;265;152;3;0;0;0;153;0
134827;153;153;4;0;0;0;0;0
135810;320;156;1;0;147;153;144;0
135815;324;147;2;0;0;153;144;0
135827;144;144;4;0;0;0;0;0
135824;257;153;3;0;0;0;144;0
136821;320;159;1;0;138;156;147;0
136825;321;138;2;0;0;156;147;0
136836;263;156;3;0;0;0;147;0
136841;147;147;4;0;0;0;0;0
137832;320;165;1;0;136;144;155;0
137839;259;144;3;0;0;0;155;0
137837;315;136;2;0;0;144;155;0
137843;155;155;4;0;0;0;0;0
138845;320;151;1;0;144;142;163;0
138851;329;144;2;0;0;142;163;0
138862;163;163;4;0;0;0;0;0
138860;265;142;3;0;0;0;163;0
139849;320;160;1;0;163;143;134;0
139858;320;163;2;0;0;143;134;0
139865;237;143;3;0;0;0;134;0
139868;134;134;4;0;0;0;0;0
140861;320;161;1;0;156;151;132;0
140867;319;156;2;0;0;151;132;0
140876;243;151;3;0;0;0;132;0
140882;132;132;4;0;0;0;0;0
141868;320;119;1;0;154;165;162;0
141874;361;154;2;0;0;165;162;0
141891;287;165;3;0;0;0;162;0
141905;162;162;4;0;0;0;0;0
142882;330;151;2;0;0;155;144;0
142878;320;150;1;0;151;155;144;0
142893;259;155;3;0;0;0;144;0
142896;144;144;4;0;0;0;0;0
143886;320;128;1;0;147;162;163;0
143889;352;147;2;0;0;162;163;0
143892;285;162;3;0;0;0;163;0
143895;163;163;4;0;0;0;0;0
144896;320;163;1;0;158;152;127;0
144904;317;158;2;0;0;152;127;0
144912;239;152;3;0;0;0;127;0
144914;127;127;4;0;0;0;0;0
145909;320;153;1;0;140;152;155;0
145917;327;140;2;0;0;152;155;0
145925;267;152;3;0;0;0;155;0
145928;155;155;4;0;0;0;0;0
146912;320;145;1;0;137;157;161;0
146933;335;137;2;0;0;157;161;0
146946;278;157;3;0;0;0;161;0
146953;161;161;4;0;0;0;0;0
147924;320;151;1;0;159;148;142;0
147939;329;159;2;0;0;148;142;0
147943;250;148;3;0;0;0;142;0
147954;142;142;4;0;0;0;0;0
148936;320;156;1;0;138;165;141;0
148941;324;138;2;0;0;165;141;0
148945;266;165;3;0;0;0;141;0
148948;141;141;4;0;0;0;0;0
149950;320;142;1;0;160;144;154;0
149953;338;160;2;0;0;144;154;0
149959;258;144;3;0;0;0;154;0
149962;154;154;4;0;0;0;0;0
150953;320;147;1;0;165;129;159;0
150959;248;129;3;0;0;0;159;0
150956;333;165;2;0;0;129;159;0
150963;159;159;4;0;0;0;0;0
151966;320;159;1;0;142;160;139;0
151969;321;142;2;0;0;160;139;0
151974;259;160;3;0;0;0;139;0
151977;139;139;4;0;0;0;0;0
152979;320;160;1;0;152;143;145;0
152982;320;152;2;0;0;143;145;0
152985;248;143;3;0;0;0;145;0
153004;145;145;4;0;0;0;0;0
153982;320;0;1;0;163;148;142;147
153985;480;163;2;0;0;148;142;147
153989;397;148;3;0;0;0;142;147
153992;289;142;4;0;0;0;0;147
153997;147;147;0;0;0;0;0;0
154992;320;138;1;0;148;153;161;0
155004;342;148;2;0;0;153;161;0
155006;274;153;3;0;0;0;161;0
155009;161;161;4;0;0;0;0;0
156002;320;135;1;0;140;166;159;0
156007;345;140;2;0;0;166;159;0
156010;285;166;3;0;0;0;159;0
156012;159;159;4;0;0;0;0;0
157011;320;152;1;0;144;148;156;0
157014;328;144;2;0;0;148;156;0
157018;264;148;3;0;0;0;156;0
157024;156;156;4;0;0;0;0;0
158011;320;147;1;0;149;162;142;0
158017;333;149;2;0;0;162;142;0
158030;142;142;4;0;0;0;0;0
158028;264;162;3;0;0;0;142;0
159022;314;148;2;0;0;143;143;0
159018;320;166;1;0;148;143;143;0
159024;246;143;3;0;0;0;143;0
159026;143;143;4;0;0;0;0;0
160028;320;155;1;0;126;143;176;0
160031;325;126;2;0;0;143;176;0
160036;279;143;3;0;0;0;176;0
160039;176;176;4;0;0;0;0;0
161040;320;158;1;0;148;152;142;0
161044;322;148;2;0;0;152;142;0
161046;254;152;3;0;0;0;142;0
161048;142;142;4;0;0;0;0;0
162043;320;166;1;0;134;141;159;0
162048;314;134;2;0;0;141;159;0
162053;260;141;3;0;0;0;159;0
162068;159;159;4;0;0;0;0;0
163048;320;144;1;0;163;131;162;0
163055;336;163;2;0;0;131;162;0
163061;253;131;3;0;0;0;162;0
163067;162;162;4;0;0;0;0;0
164061;320;143;1;0;140;151;166;0
164065;337;140;2;0;0;151;166;0
164075;277;151;3;0;0;0;166;0
164081;166;166;4;0;0;0;0;0
165070;320;165;1;0;144;149;142;0
165076;315;144;2;0;0;149;142;0
165094;251;149;3;0;0;0;142;0
165096;142;142;4;0;0;0;0;0
166076;320;159;1;0;133;158;150;0
166080;321;133;2;0;0;158;150;0
166085;268;158;3;0;0;0;150;0
166089;150;150;4;0;0;0;0;0
167077;320;150;1;0;141;166;143;0
167081;330;141;2;0;0;166;143;0
167083;269;166;3;0;0;0;143;0
167087;143;143;4;0;0;0;0;0
168090;320;139;1;0;152;163;146;0
168096;341;152;2;0;0;163;146;0
168101;269;163;3;0;0;0;146;0
168118;146;146;4;0;0;0;0;0
169102;320;170;1;0;158;131;141;0
169108;310;158;2;0;0;131;141;0
169115;232;131;3;0;0;0;141;0
169126;141;141;4;0;0;0;0;0
170118;320;51;1;0;31;53;36;0
170125;429;31;2;0;0;53;36;0
170135;478;53;3;0;0;0;36;0
170141;465;36;4;0;0;0;0;0
170145;429;0;0;0;0;0;0;0
171125;320;0;1;0;0;0;0;0
171135;480;0;2;0;0;0;0;0
171138;560;0;3;0;0;0;0;0
171144;600;0;4;0;0;0;0;0
171148;600;0;0;0;0;0;0;0
172133;320;0;1;0;0;0;0;0
172137;480;0;2;0;0;0;0;0
172143;560;0;3;0;0;0;0;0
172146;600;0;4;0;0;0;0;0
172151;600;0;0;0;0;0;0;0
173143;320;0;1;0;0;0;0;0
173147;480;0;2;0;0;0;0;0
173164;560;0;3;0;0;0;0;0
173166;600;0;4;0;0;0;0;0
