Timestamp; Pedidos por  Dispatcher; Leidos por Dispatcher; Cola Leida; Quedan Cola P1; Quedan Cola P2; Quedan Cola P3; Quedan Cola P4, Quedan Cola Expirados
119520;825;38;3;0;0;0;18130;8920
119522;854;854;4;0;0;0;17276;8920
120513;533;52;1;0;102;138;17982;8920
120516;748;102;2;0;0;138;17982;8920
120517;779;138;3;0;0;0;17982;8920
120520;708;708;4;0;0;0;17274;8920
121521;533;47;1;0;105;138;17984;8920
121524;753;105;2;0;0;138;17984;8920
121527;781;138;3;0;0;0;17984;8920
121529;710;710;4;0;0;0;17274;8920
122534;533;67;1;0;143;193;18204;8920
122537;733;143;2;0;0;193;18204;8920
122541;723;266;3;19;60;0;18593;8920
122543;524;524;4;19;60;0;18069;8920
123534;533;45;1;0;105;75;17194;10123
123536;755;105;2;0;0;75;17194;10123
123538;783;75;3;0;0;0;17194;10123
123540;775;775;4;0;0;0;16419;10123
124539;533;60;1;0;154;181;17298;10123
124541;740;154;2;0;0;181;17298;10123
124543;719;181;3;0;0;0;17298;10123
124545;605;605;4;0;0;0;16693;10123
125552;533;61;1;0;176;237;17807;10123
125554;739;176;2;0;0;237;17807;10123
125556;696;237;3;0;0;0;17807;10123
125559;526;526;4;0;0;0;17281;10123
126553;533;79;1;0;172;233;18382;10123
126555;721;172;2;0;0;233;18382;10123
126558;682;233;3;0;0;0;18382;10123
126559;516;516;4;0;0;0;17866;10123
127566;533;55;1;0;102;154;18068;10558
127569;745;102;2;0;0;154;18068;10558
127574;689;689;4;0;0;0;17379;10558
127571;776;154;3;0;0;0;18068;10558
128566;533;59;1;0;92;156;18052;10558
128571;741;92;2;0;0;156;18052;10558
128572;782;156;3;0;0;0;18052;10558
128574;693;693;4;0;0;0;17359;10558
129573;533;47;1;0;85;125;17583;10917
129576;753;85;2;0;0;125;17583;10917
129577;801;125;3;0;0;0;17583;10917
129579;743;743;4;0;0;0;16840;10917
130587;533;35;1;0;86;114;16891;11384
130590;765;86;2;0;0;114;16891;11384
130592;812;114;3;0;0;0;16891;11384
130594;765;765;4;0;0;0;16126;11384
131600;533;79;1;0;134;222;16286;12194
131603;721;134;2;0;0;222;16286;12194
131605;720;222;3;0;0;0;16286;12194
131606;565;565;4;0;0;0;15721;12194
132614;533;69;1;0;165;213;16730;12194
132617;731;165;2;0;0;213;16730;12194
132618;699;213;3;0;0;0;16730;12194
132620;553;553;4;0;0;0;16177;12194
133617;533;44;1;0;87;137;16149;12845
133619;756;87;2;0;0;137;16149;12845
133621;802;137;3;0;0;0;16149;12845
133623;732;732;4;0;0;0;15417;12845
134621;533;70;1;0;164;215;16386;12885
134623;730;164;2;0;0;215;16386;12885
134625;699;215;3;0;0;0;16386;12885
134627;551;551;4;0;0;0;15835;12885
135630;533;84;1;0;167;263;16374;13618
135633;716;167;2;0;0;263;16374;13618
135636;682;263;3;0;0;0;16374;13618
135638;486;486;4;0;0;0;15888;13618
136631;533;64;1;0;160;229;16862;13631
136633;736;160;2;0;0;229;16862;13631
136634;709;229;3;0;0;0;16862;13631
136636;547;547;4;0;0;0;16315;13631
137636;533;29;1;0;51;71;16605;13696
137639;771;51;2;0;0;71;16605;13696
137640;853;71;3;0;0;0;16605;13696
137642;849;849;4;0;0;0;15756;13696
138641;533;76;1;0;159;204;16823;13722
138645;724;159;2;0;0;204;16823;13722
138647;698;204;3;0;0;0;16823;13722
138649;561;561;4;0;0;0;16262;13722
139653;533;16;1;0;47;85;16290;14098
139656;784;47;2;0;0;85;16290;14098
139658;870;85;3;0;0;0;16290;14098
139660;852;852;4;0;0;0;15438;14098
140666;533;70;1;0;169;216;16422;14098
140669;730;169;2;0;0;216;16422;14098
140672;694;216;3;0;0;0;16422;14098
140674;545;545;4;0;0;0;15877;14098
141679;533;62;1;0;147;221;16589;14416
141682;738;147;2;0;0;221;16589;14416
141683;724;221;3;0;0;0;16589;14416
141685;570;570;4;0;0;0;16019;14416
142686;533;66;1;0;134;203;16916;14477
142688;734;134;2;0;0;203;16916;14477
142690;733;203;3;0;0;0;16916;14477
142691;597;597;4;0;0;0;16319;14477
143699;533;58;1;0;121;189;17080;14597
143701;742;121;2;0;0;189;17080;14597
143703;754;189;3;0;0;0;17080;14597
143705;632;632;4;0;0;0;16448;14597
144713;533;116;1;0;177;303;17605;14844
144715;684;177;2;0;0;303;17605;14844
144717;640;303;3;0;0;0;17605;14844
144719;404;404;4;0;0;0;17201;14844
145722;533;77;1;0;135;201;17540;15554
145725;723;135;2;0;0;201;17540;15554
145728;721;201;3;0;0;0;17540;15554
145730;587;587;4;0;0;0;16953;15554
146733;533;84;1;0;186;224;17655;16068
146736;716;186;2;0;0;224;17655;16068
146739;663;224;3;0;0;0;17655;16068
146741;506;506;4;0;0;0;17149;16068
147749;533;38;1;0;67;96;17521;16199
147752;762;67;2;0;0;96;17521;16199
147755;828;96;3;0;0;0;17521;16199
147756;799;799;4;0;0;0;16722;16199
148756;533;90;1;0;182;258;17973;16199
148758;710;182;2;0;0;258;17973;16199
148759;661;258;3;0;0;0;17973;16199
148761;470;470;4;0;0;0;17503;16199
149768;533;108;1;0;175;342;18878;16199
149771;692;175;2;0;0;342;18878;16199
149773;650;342;3;0;0;0;18878;16199
149775;375;375;4;0;0;0;18503;16199
150771;533;79;1;0;124;216;19427;16199
150772;721;124;2;0;0;216;19427;16199
150774;730;216;3;0;0;0;19427;16199
150775;581;581;4;0;0;0;18846;16199
151779;533;114;1;0;184;338;19691;16718
151782;686;184;2;0;0;338;19691;16718
151785;635;338;3;0;0;0;19691;16718
151788;364;364;4;0;0;0;19327;16718
152794;533;101;1;0;198;295;20088;17363
152797;699;198;2;0;0;295;20088;17363
152800;634;295;3;0;0;0;20088;17363
152803;406;406;4;0;0;0;19682;17363
153800;533;82;1;0;151;257;20628;17580
153803;718;151;2;0;0;257;20628;17580
153806;700;257;3;0;0;0;20628;17580
153808;510;510;4;0;0;0;20118;17580
154802;533;59;1;0;112;165;20420;18132
154804;741;112;2;0;0;165;20420;18132
154807;762;165;3;0;0;0;20420;18132
154808;664;664;4;0;0;0;19756;18132
155816;533;76;1;0;159;272;20419;18687
155818;724;159;2;0;0;272;20419;18687
155821;698;272;3;0;0;0;20419;18687
155824;493;493;4;0;0;0;19926;18687
156827;533;83;1;0;149;275;20530;19181
156828;717;149;2;0;0;275;20530;19181
156830;701;275;3;0;0;0;20530;19181
156832;493;493;4;0;0;0;20037;19181
157840;533;91;1;0;205;308;21433;19181
157843;709;205;2;0;0;308;21433;19181
157845;637;308;3;0;0;0;21433;19181
157847;396;396;4;0;0;0;21037;19181
158841;533;99;1;0;217;302;22419;19181
158844;701;217;2;0;0;302;22419;19181
158846;617;302;3;0;0;0;22419;19181
158848;382;382;4;0;0;0;22037;19181
159846;533;108;1;0;196;288;22815;19762
159848;692;196;2;0;0;288;22815;19762
159850;629;288;3;0;0;0;22815;19762
159852;408;408;4;0;0;0;22407;19762
160851;533;34;1;0;91;133;22379;20338
160853;766;91;2;0;0;133;22379;20338
160856;808;133;3;0;0;0;22379;20338
160859;742;742;4;0;0;0;21637;20338
161852;533;29;1;0;77;109;21953;20626
161854;771;77;2;0;0;109;21953;20626
161856;827;109;3;0;0;0;21953;20626
161857;785;785;4;0;0;0;21168;20626
162855;533;95;1;0;195;302;22403;20799
162858;705;195;2;0;0;302;22403;20799
162860;643;302;3;0;0;0;22403;20799
162862;408;408;4;0;0;0;21995;20799
163869;533;86;1;0;192;299;22945;21272
163872;714;192;2;0;0;299;22945;21272
163874;655;299;3;0;0;0;22945;21272
163876;423;423;4;0;0;0;22522;21272
164880;533;96;1;0;189;311;23523;21675
164883;704;189;2;0;0;311;23523;21675
164885;648;311;3;0;0;0;23523;21675
164888;404;404;4;0;0;0;23119;21675
165886;533;99;1;0;194;320;23283;22898
165888;701;194;2;0;0;320;23283;22898
165891;640;320;3;0;0;0;23283;22898
165893;387;387;4;0;0;0;22896;22898
166893;533;102;1;0;213;296;24172;23011
166896;698;213;2;0;0;296;24172;23011
166898;618;296;3;0;0;0;24172;23011
166900;389;389;4;0;0;0;23783;23011
167900;533;56;1;0;73;128;23565;23841
167902;744;73;2;0;0;128;23565;23841
167904;804;128;3;0;0;0;23565;23841
