Timestamp; Solicitados; Recuperados
121036;1000;1000;47;105;138;710
121533;1000;1000;55;103;149;693
122038;1000;333;12;40;44;237
122539;1000;541;19;60;73;389
123052;1000;474;26;45;75;328
123566;1000;1000;48;119;154;679
124070;1000;274;12;35;27;200
124569;1000;832;31;87;121;593
125083;1000;756;30;89;116;521
125583;1000;843;44;93;137;569
126100;1000;742;35;79;96;532
126600;1000;0;0;0;0;0
127104;1000;948;55;102;154;637
127612;1000;0;0;0;0;0
128119;1000;980;59;92;156;673
128632;1000;840;47;85;125;583
129134;1000;0;0;0;0;0
129636;1000;380;22;41;55;262
130137;1000;373;13;45;59;256
130652;1000;801;43;86;136;536
131166;1000;604;36;48;86;434
131679;1000;879;42;91;135;611
132182;1000;577;27;74;78;398
132692;1000;0;0;0;0;0
133197;1000;891;44;87;137;623
133699;1000;458;27;33;77;321
134216;1000;1000;43;131;138;688
134716;1000;975;47;84;147;697
135220;1000;811;37;83;116;575
135724;1000;962;46;104;152;660
136230;1000;478;18;56;77;327
136741;1000;0;0;0;0;0
137249;1000;506;29;51;71;355
137759;1000;536;32;50;81;373
138268;1000;996;44;109;123;720
138781;1000;0;0;0;0;0
139296;1000;552;16;47;85;404
139809;1000;1000;52;123;149;676
140325;1000;439;18;46;67;308
140838;1000;512;20;54;88;350
141352;1000;948;42;93;133;680
141856;1000;1000;43;90;152;715
142359;1000;361;23;44;51;243
142860;1000;1000;48;104;150;698
143375;1000;249;10;17;39;183
143889;1000;1000;57;93;156;694
144402;1000;1000;59;84;147;710
144902;1000;1000;58;86;133;723
145404;1000;462;19;49;68;326
145913;1000;710;30;79;101;500
146419;1000;1000;54;107;123;716
146923;1000;704;38;67;96;503
147438;1000;0;0;0;0;0
147936;1000;781;43;82;118;538
148441;1000;1000;47;100;140;713
148947;1000;1000;52;76;180;692
149453;1000;1000;56;99;162;683
149960;1000;1000;55;92;170;683
150462;1000;343;24;32;46;241
150976;1000;1000;56;101;159;684
151480;1000;1000;58;83;179;680
151986;1000;1000;53;96;150;701
152495;1000;1000;48;102;145;705
153001;1000;1000;49;89;156;706
153504;1000;653;33;62;101;457
154009;1000;1000;49;94;141;716
154522;1000;190;10;18;24;138
155037;1000;1000;42;103;149;706
155554;1000;725;34;56;123;512
156055;1000;964;51;99;170;644
156563;1000;641;32;50;105;454
157067;1000;1000;33;104;159;704
157574;1000;1000;58;101;149;692
158078;1000;1000;47;107;146;700
158595;1000;1000;52;110;156;682
159099;1000;1000;51;107;150;692
159614;1000;951;57;89;138;667
160116;1000;806;34;91;133;548
160617;1000;0;0;0;0;0
161121;1000;819;29;77;109;604
161634;1000;0;0;0;0;0
162139;1000;1000;55;99;166;680
162653;1000;1000;40;96;136;728
163156;1000;1000;40;96;139;725
163668;1000;1000;46;96;160;698
164174;1000;1000;47;108;145;700
164679;1000;1000;49;81;166;704
165182;1000;1000;48;93;162;697
165695;1000;1000;51;101;158;690
166199;1000;1000;51;116;154;679
166702;1000;1000;51;97;142;710
167244;1000;869;56;73;128;612
167758;1000;0;0;0;0;0
168265;1000;552;24;68;82;378
168779;1000;0;0;0;0;0
169279;1000;763;43;63;131;526
169798;1000;1000;52;87;145;716
170295;1000;279;8;25;46;200
170811;1000;695;41;76;98;480
171325;1000;1000;49;91;156;704
171830;1000;1000;49;97;137;717
172333;1000;1000;37;90;150;723
172842;1000;962;55;86;142;679
173347;1000;324;14;43;34;233
173852;1000;478;19;52;60;347
174353;1000;807;40;61;123;583
174855;1000;0;0;0;0;0
