Timestamp; Q1; Q2; Q3; Q4; Expirados
133198;44;87;137;16149;12845
133700;27;33;77;15738;12845
133934;27;33;77;15698;12885
134217;70;164;215;16386;12885
134718;47;84;147;16532;12885
134959;47;84;147;15799;13618
135221;84;167;263;16374;13618
135725;46;104;152;16548;13618
135945;46;104;152;16535;13631
136231;64;160;229;16862;13631
136742;0;0;0;16315;13631
136948;0;0;0;16250;13696
137251;29;51;71;16605;13696
137760;32;50;81;16129;13696
137962;32;50;81;16103;13722
138269;76;159;204;16823;13722
138783;0;0;0;16262;13722
138980;0;0;0;15886;14098
139297;16;47;85;16290;14098
139811;52;123;149;16114;14098
139980;52;123;149;16114;14098
140327;70;169;216;16422;14098
140840;20;54;88;16227;14098
141005;20;54;88;15909;14416
141353;62;147;221;16589;14416
141857;43;90;152;16734;14416
141997;43;90;152;16673;14477
142360;66;134;203;16916;14477
142861;48;104;150;17017;14477
143004;48;104;150;16897;14597
143376;58;121;189;17080;14597
143890;57;93;156;17142;14597
144021;57;93;156;16895;14844
144404;116;177;303;17605;14844
144903;58;86;133;17924;14844
145056;58;86;133;17214;15554
145406;77;135;201;17540;15554
145914;30;79;101;17453;15554
146059;30;79;101;16939;16068
146421;84;186;224;17655;16068
146925;38;67;96;17652;16068
147053;38;67;96;17521;16199
147439;38;67;96;17521;16199
147937;43;82;118;17260;16199
148060;43;82;118;17260;16199
148442;90;182;258;17973;16199
148949;52;76;180;18195;16199
149069;52;76;180;18195;16199
149454;108;175;342;18878;16199
149961;55;92;170;19186;16199
150083;55;92;170;19186;16199
150463;79;124;216;19427;16199
150977;56;101;159;19530;16199
151108;56;101;159;19011;16718
151482;114;184;338;19691;16718
151988;53;96;150;20028;16718
152126;53;96;150;19383;17363
152496;101;198;295;20088;17363
153002;49;89;156;20388;17363
153119;49;89;156;20171;17580
153505;82;151;257;20628;17580
154010;49;94;141;20834;17580
154142;49;94;141;20282;18132
154523;59;112;165;20420;18132
155039;42;103;149;20462;18132
155156;42;103;149;19907;18687
155555;76;159;272;20419;18687
156056;51;99;170;20570;18687
156154;51;99;170;20076;19181
156565;83;149;275;20530;19181
157069;33;104;159;20741;19181
157143;33;104;159;20741;19181
157576;91;205;308;21433;19181
158080;47;107;146;21737;19181
158151;47;107;146;21737;19181
158596;99;217;302;22419;19181
159100;51;107;150;22729;19181
159190;51;107;150;22148;19762
159616;108;196;288;22815;19762
160118;34;91;133;22955;19762
160191;34;91;133;22379;20338
160618;34;91;133;22379;20338
161123;29;77;109;22241;20338
161184;29;77;109;21953;20626
161636;29;77;109;21953;20626
162140;55;99;166;21848;20626
162187;55;99;166;21675;20799
162654;95;195;302;22403;20799
163158;40;96;139;22720;20799
163210;40;96;139;22247;21272
163670;86;192;299;22945;21272
164175;47;108;145;23222;21272
164206;47;108;145;22819;21675
164681;96;189;311;23523;21675
165183;48;93;162;23816;21675
165255;48;93;162;22593;22898
165696;99;194;320;23283;22898
166194;0;0;0;22783;23011
166200;51;116;154;23462;23011
166704;102;213;296;24172;23011
167242;0;0;0;22953;23841
167245;56;73;128;23565;23841
167759;56;73;128;23565;23841
168200;0;0;0;22822;23841
168266;24;68;82;23200;23841
168780;24;68;82;23200;23841
169267;0;0;0;21169;25046
169280;43;63;131;21695;25046
169799;95;150;276;22411;25046
170233;0;0;0;21635;25343
170296;8;25;46;21835;25343
170813;49;101;144;22315;25343
171322;0;0;0;19796;27156
171326;49;91;156;20500;27156
171831;98;188;293;21217;27156
172249;0;0;0;20569;27383
172334;37;90;150;21292;27383
172844;92;176;292;21971;27383
173266;0;0;0;21205;27709
173349;14;43;34;21438;27709
173853;33;95;94;21785;27709
174264;0;0;0;20931;27785
174354;40;61;123;21514;27785
174857;40;61;123;21514;27785
175287;0;0;0;20296;28227
175361;19;24;41;20531;28227
175862;48;110;132;20936;28227
176269;0;0;0;20226;28227
176367;45;77;135;20811;28227
176871;86;146;256;21351;28227
177320;0;0;0;19956;29110
177377;41;84;121;20466;29110
177881;76;201;259;21176;29110
178346;0;0;0;19479;30343
178397;31;62;90;19927;30343
178899;69;174;271;20596;30343
179315;0;0;0;19532;30921
179400;7;3;12;19591;30921
179905;55;115;140;20303;30921
180301;0;0;0;19386;31148
180406;55;100;157;20074;31148
180915;96;194;286;20742;31148
181314;0;0;0;20138;31328
181420;45;99;128;20866;31328
181935;59;134;163;21071;31328
182408;0;0;0;18331;33424
182438;48;104;162;19017;33424
182955;62;149;231;19266;33424
183343;0;0;0;17974;34158
183471;43;91;116;18530;34158
183972;91;190;284;19215;34158
184326;0;0;0;18780;34158
184485;49;99;164;19468;34158
184988;91;196;304;20118;34158
185370;0;0;0;18777;35090
185489;0;0;0;18777;35090
185995;43;105;156;19473;35090
186352;0;0;0;18464;35403
186499;8;27;26;18644;35403
187000;34;86;117;19113;35403
187343;0;0;0;18307;35446
187516;31;78;92;18845;35446
188015;31;78;92;18845;35446
188355;0;0;0;18046;35446
188530;30;59;77;18462;35446
189042;85;148;254;19141;35446
189368;0;0;0;18341;35733
189546;2;1;0;18346;35733
190053;28;58;77;18700;35733
190363;0;0;0;17863;35733
190554;0;0;0;17863;35733
191071;40;75;101;18339;35733
191373;0;0;0;17462;35826
